fips_code,state,county,population,metro_status,poverty_pct,bachelors_pct,median_income,2023_violent_crime,2024_violent_crime,2023_property_crime,2024_property_crime
1001,Alabama,Autauga,59285,Metro,10.7,28.3,69841,47.0,54.0,220.0,221.0
1003,Alabama,Baldwin,239945,Metro,10.5,32.8,75019,108.0,137.0,196.0,170.0
1005,Alabama,Barbour,24757,Non-Metro,21.9,11.5,44290,8.0,11.0,26.0,15.0
1007,Alabama,Bibb,22152,Metro,20.5,11.5,51215,25.0,34.0,82.0,78.0
1009,Alabama,Blount,59292,Metro,14.1,15.6,61096,111.0,82.0,376.0,298.0
1011,Alabama,Bullock,10157,Non-Metro,25.7,9.0,36723,14.0,11.0,32.0,38.0
1015,Alabama,Calhoun,116141,Metro,17.5,20.5,55826,215.0,238.0,246.0,192.0
1017,Alabama,Chambers,34450,Non-Metro,15.5,14.6,49295,26.0,26.0,89.0,147.0
1019,Alabama,Cherokee,25224,Non-Metro,14.5,15.9,50769,64.0,49.0,308.0,264.0
1021,Alabama,Chilton,45500,Metro,13.6,15.2,61873,93.0,64.0,312.0,419.0
1023,Alabama,Choctaw,12525,Non-Metro,19.5,13.9,44483,23.0,9.0,86.0,51.0
1025,Alabama,Clarke,22802,Non-Metro,20.5,15.4,49167,62.0,36.0,92.0,73.0
1027,Alabama,Clay,14188,Non-Metro,16.5,15.2,51852,16.0,16.0,60.0,51.0
1029,Alabama,Cleburne,15254,Non-Metro,13.2,18.2,53319,10.0,19.0,114.0,111.0
1031,Alabama,Coffee,54231,Non-Metro,17.6,21.5,64672,31.0,26.0,137.0,122.0
1033,Alabama,Colbert,57648,Metro,16.9,20.3,56736,21.0,15.0,73.0,90.0
1035,Alabama,Conecuh,11411,Non-Metro,27.6,13.1,42266,5.0,1.0,19.0,0.0
1039,Alabama,Covington,37647,Non-Metro,18.0,17.2,50886,5.0,1.0,20.0,8.0
1041,Alabama,Crenshaw,13144,Non-Metro,16.2,16.8,49040,23.0,5.0,92.0,18.0
1043,Alabama,Cullman,89463,Non-Metro,13.9,19.1,60916,103.0,78.0,687.0,644.0
1045,Alabama,Dale,49516,Non-Metro,18.7,19.3,53955,22.0,37.0,110.0,75.0
1047,Alabama,Dallas,37536,Non-Metro,29.0,17.0,36810,94.0,93.0,219.0,303.0
1049,Alabama,DeKalb,71946,Non-Metro,20.4,13.9,51149,22.0,27.0,131.0,157.0
1051,Alabama,Elmore,88669,Metro,10.3,24.4,75553,35.0,41.0,226.0,314.0
1055,Alabama,Etowah,103208,Metro,17.1,17.5,53070,17.0,13.0,63.0,55.0
1057,Alabama,Fayette,16173,Non-Metro,18.7,15.6,50733,5.0,10.0,39.0,17.0
1059,Alabama,Franklin,31978,Non-Metro,17.4,14.9,51493,56.0,35.0,184.0,129.0
1063,Alabama,Greene,7589,Metro,35.9,12.5,31495,7.0,2.0,31.0,4.0
1067,Alabama,Henry,17450,Metro,15.8,21.7,60135,31.0,15.0,82.0,71.0
1069,Alabama,Houston,107628,Metro,18.0,22.8,57531,125.0,147.0,488.0,495.0
