fips_code,state,county,population,poverty_pct,bachelors_pct,median_income,2023_violent_crime,2023_property_crime,2024_violent_crime,2024_property_crime,metro_status,_merge
1013,Alabama,Butler,18807,21.0,13.8,44881,,,,,,left_only
1037,Alabama,Coosa,10323,11.6,14.9,57063,,,,,,left_only
1053,Alabama,Escambia,36695,21.2,12.5,44447,,,,,,left_only
1061,Alabama,Geneva,26726,19.1,13.3,50951,,,,,,left_only
1065,Alabama,Hale,14749,23.9,16.8,41325,,,,,,left_only
1071,Alabama,Jackson,52839,16.8,15.6,49454,,,,,,left_only
1083,Alabama,Limestone,107577,10.1,30.4,83534,,,,,,left_only
1085,Alabama,Lowndes,10008,29.6,13.9,35160,,,,,,left_only
1091,Alabama,Marengo,19027,22.6,20.4,44205,,,,,,left_only
1103,Alabama,Morgan,123742,13.6,23.2,64858,,,,,,left_only
1105,Alabama,Perry,8231,31.2,16.8,34368,,,,,,left_only
1113,Alabama,Russell,58858,22.2,16.9,50046,,,,,,left_only
1117,Alabama,Shelby,226955,6.9,46.2,93543,,,,,,left_only
1119,Alabama,Sumter,12020,28.1,19.0,37981,,,,,,left_only
1131,Alabama,Wilcox,10347,29.0,12.3,42236,,,,,,left_only
2013,Alaska,Aleutians East,3423,12.4,18.1,72692,,,,,,left_only
2016,Alaska,Aleutians West,5178,9.2,17.5,107344,,,,,,left_only
2020,Alaska,Anchorage,289069,9.3,37.7,98152,,,,,,left_only
2050,Alaska,Bethel,18487,24.0,10.4,70616,,,,,,left_only
2060,Alaska,Bristol Bay,878,9.7,25.1,100625,,,,,,left_only
2063,Alaska,Chugach,6964,4.8,29.6,88565,,,,,,left_only
2066,Alaska,Copper River,2626,11.4,28.4,75053,,,,,,left_only
2068,Alaska,Denali,2029,6.6,23.6,88935,,,,,,left_only
2070,Alaska,Dillingham,4780,16.3,19.4,74250,,,,,,left_only
2090,Alaska,Fairbanks North Star,95555,6.2,33.7,84722,,,,,,left_only
2100,Alaska,Haines,2077,6.1,36.9,72607,,,,,,left_only
2105,Alaska,Hoonah-Angoon,2313,12.6,23.3,62500,,,,,,left_only
