state,2024_metro_status,county,2024_violent_crime,2024_property_crime
Alabama,Metro,Autauga,54.0,221.0
Alabama,Metro,Baldwin,137.0,170.0
Alabama,Metro,Bibb,34.0,78.0
Alabama,Metro,Blount,82.0,298.0
Alabama,Metro,Calhoun,238.0,192.0
Alabama,Metro,Chilton,64.0,419.0
Alabama,Metro,Colbert,15.0,90.0
Alabama,Metro,Elmore,41.0,314.0
Alabama,Metro,Etowah,13.0,55.0
Alabama,Metro,Geneva,0.0,0.0
Alabama,Metro,Greene,2.0,4.0
Alabama,Metro,Henry,15.0,71.0
Alabama,Metro,Houston,147.0,495.0
Alabama,Metro,Jefferson,650.0,2725.0
Alabama,Metro,Lauderdale,95.0,274.0
Alabama,Metro,Lawrence,19.0,50.0
Alabama,Metro,Lee,216.0,539.0
Alabama,Metro,Lowndes,16.0,15.0
Alabama,Metro,Macon,10.0,12.0
Alabama,Metro,Madison,286.0,1288.0
Alabama,Metro,Mobile,265.0,800.0
Alabama,Metro,Montgomery,80.0,390.0
Alabama,Metro,Pickens,28.0,55.0
Alabama,Metro,Russell,58.0,175.0
Alabama,Metro,Shelby,68.0,33.0
Alabama,Metro,St. Clair,79.0,334.0
Alabama,Metro,Tuscaloosa,106.0,470.0
Alabama,Metro,Walker,0.0,0.0
Alabama,Non-Metro,Barbour,11.0,15.0
Alabama,Non-Metro,Bullock,11.0,38.0
Alabama,Non-Metro,Chambers,26.0,147.0
Alabama,Non-Metro,Cherokee,49.0,264.0
Alabama,Non-Metro,Choctaw,9.0,51.0
Alabama,Non-Metro,Clarke,36.0,73.0
Alabama,Non-Metro,Clay,16.0,51.0
Alabama,Non-Metro,Cleburne,19.0,111.0
Alabama,Non-Metro,Coffee,26.0,122.0
Alabama,Non-Metro,Conecuh,1.0,0.0
Alabama,Non-Metro,Covington,1.0,8.0
Alabama,Non-Metro,Crenshaw,5.0,18.0
Alabama,Non-Metro,Cullman,78.0,644.0
Alabama,Non-Metro,Dale,37.0,75.0
Alabama,Non-Metro,Dallas,93.0,303.0
Alabama,Non-Metro,DeKalb,27.0,157.0
Alabama,Non-Metro,Fayette,10.0,17.0
Alabama,Non-Metro,Franklin,35.0,129.0
Alabama,Non-Metro,Jackson,47.0,162.0
Alabama,Non-Metro,Lamar,3.0,14.0
Alabama,Non-Metro,Marion,11.0,49.0
Alabama,Non-Metro,Marshall,40.0,545.0
Alabama,Non-Metro,Monroe,16.0,31.0
Alabama,Non-Metro,Perry,0.0,0.0
Alabama,Non-Metro,Pike,14.0,53.0
Alabama,Non-Metro,Randolph,49.0,149.0
Alabama,Non-Metro,Sumter,0.0,2.0
Alabama,Non-Metro,Talladega,79.0,311.0
Alabama,Non-Metro,Tallapoosa,8.0,61.0
Alabama,Non-Metro,Washington,24.0,78.0
Alabama,Non-Metro,Winston,20.0,95.0
Arizona,Metro,Mohave,206.0,1335.0
Arizona,Metro,Pima,759.0,7085.0
Arizona,Metro,Pinal,251.0,1238.0
Arizona,Metro,Yavapai,237.0,428.0
Arizona,Metro,Yuma,135.0,708.0
Arizona,Non-Metro,Apache,47.0,79.0
Arizona,Non-Metro,Gila,54.0,106.0
Arizona,Non-Metro,Graham,16.0,33.0
Arizona,Non-Metro,Navajo,67.0,162.0
Arkansas,Metro,Benton,111.0,247.0
Arkansas,Metro,Craighead,54.0,147.0
Arkansas,Metro,Crawford,70.0,219.0
Arkansas,Metro,Crittenden,135.0,216.0
Arkansas,Metro,Faulkner,88.0,419.0
Arkansas,Metro,Garland,322.0,919.0
Arkansas,Metro,Grant,44.0,111.0
Arkansas,Metro,Little River,29.0,62.0
Arkansas,Metro,Lonoke,129.0,335.0
Arkansas,Metro,Madison,73.0,97.0
Arkansas,Metro,Miller,44.0,115.0
Arkansas,Metro,Perry,23.0,80.0
Arkansas,Metro,Poinsett,51.0,81.0
Arkansas,Metro,Pulaski,448.0,1166.0
Arkansas,Metro,Saline,162.0,546.0
Arkansas,Metro,Sebastian,22.0,62.0
Arkansas,Metro,Washington,146.0,266.0
Arkansas,Non-Metro,Arkansas,31.0,57.0
Arkansas,Non-Metro,Ashley,5.0,92.0
Arkansas,Non-Metro,Baxter,40.0,143.0
Arkansas,Non-Metro,Boone,49.0,136.0
Arkansas,Non-Metro,Bradley,17.0,46.0
Arkansas,Non-Metro,Calhoun,14.0,23.0
Arkansas,Non-Metro,Carroll,24.0,61.0
Arkansas,Non-Metro,Chicot,2.0,54.0
Arkansas,Non-Metro,Clark,12.0,31.0
Arkansas,Non-Metro,Clay,35.0,28.0
Arkansas,Non-Metro,Cleburne,140.0,257.0
Arkansas,Non-Metro,Cleveland,15.0,38.0
Arkansas,Non-Metro,Columbia,29.0,48.0
Arkansas,Non-Metro,Conway,47.0,113.0
Arkansas,Non-Metro,Dallas,15.0,23.0
Arkansas,Non-Metro,Desha,9.0,30.0
Arkansas,Non-Metro,Drew,20.0,56.0
Arkansas,Non-Metro,Franklin,40.0,61.0
Arkansas,Non-Metro,Fulton,32.0,68.0
Arkansas,Non-Metro,Greene,75.0,145.0
Arkansas,Non-Metro,Hempstead,47.0,94.0
