state,county,2023_violent_crime,2023_property_crime,2024_violent_crime,2024_property_crime,metro_status
Alabama,Autauga,47.0,220.0,54.0,221.0,Metro
Alabama,Baldwin,108.0,196.0,137.0,170.0,Metro
Alabama,Bibb,25.0,82.0,34.0,78.0,Metro
Alabama,Blount,111.0,376.0,82.0,298.0,Metro
Alabama,Calhoun,215.0,246.0,238.0,192.0,Metro
Alabama,Chilton,93.0,312.0,64.0,419.0,Metro
Alabama,Colbert,21.0,73.0,15.0,90.0,Metro
Alabama,Elmore,35.0,226.0,41.0,314.0,Metro
Alabama,Etowah,17.0,63.0,13.0,55.0,Metro
Alabama,Greene,7.0,31.0,2.0,4.0,Metro
Alabama,Henry,31.0,82.0,15.0,71.0,Metro
Alabama,Houston,125.0,488.0,147.0,495.0,Metro
Alabama,Jefferson,712.0,2916.0,650.0,2725.0,Metro
Alabama,Lauderdale,110.0,393.0,95.0,274.0,Metro
Alabama,Lawrence,27.0,82.0,19.0,50.0,Metro
Alabama,Lee,170.0,740.0,216.0,539.0,Metro
Alabama,Macon,14.0,55.0,10.0,12.0,Metro
Alabama,Madison,300.0,1484.0,286.0,1288.0,Metro
Alabama,Mobile,165.0,755.0,265.0,800.0,Metro
Alabama,Montgomery,121.0,354.0,80.0,390.0,Metro
Alabama,Pickens,23.0,55.0,28.0,55.0,Metro
Alabama,St. Clair,85.0,248.0,79.0,334.0,Metro
Alabama,Tuscaloosa,159.0,476.0,106.0,470.0,Metro
Alabama,Walker,0.0,0.0,0.0,0.0,Metro
Alabama,Barbour,8.0,26.0,11.0,15.0,Non-Metro
Alabama,Bullock,14.0,32.0,11.0,38.0,Non-Metro
Alabama,Chambers,26.0,89.0,26.0,147.0,Non-Metro
Alabama,Cherokee,64.0,308.0,49.0,264.0,Non-Metro
Alabama,Choctaw,23.0,86.0,9.0,51.0,Non-Metro
Alabama,Clarke,62.0,92.0,36.0,73.0,Non-Metro
Alabama,Clay,16.0,60.0,16.0,51.0,Non-Metro
Alabama,Cleburne,10.0,114.0,19.0,111.0,Non-Metro
Alabama,Coffee,31.0,137.0,26.0,122.0,Non-Metro
Alabama,Conecuh,5.0,19.0,1.0,0.0,Non-Metro
Alabama,Covington,5.0,20.0,1.0,8.0,Non-Metro
Alabama,Crenshaw,23.0,92.0,5.0,18.0,Non-Metro
Alabama,Cullman,103.0,687.0,78.0,644.0,Non-Metro
Alabama,Dale,22.0,110.0,37.0,75.0,Non-Metro
Alabama,Dallas,94.0,219.0,93.0,303.0,Non-Metro
Alabama,DeKalb,22.0,131.0,27.0,157.0,Non-Metro
Alabama,Fayette,5.0,39.0,10.0,17.0,Non-Metro
Alabama,Franklin,56.0,184.0,35.0,129.0,Non-Metro
Alabama,Lamar,2.0,4.0,3.0,14.0,Non-Metro
Alabama,Marion,4.0,19.0,11.0,49.0,Non-Metro
Alabama,Marshall,49.0,193.0,40.0,545.0,Non-Metro
Alabama,Monroe,25.0,27.0,16.0,31.0,Non-Metro
Alabama,Pike,17.0,67.0,14.0,53.0,Non-Metro
Alabama,Randolph,46.0,165.0,49.0,149.0,Non-Metro
Alabama,Talladega,76.0,386.0,79.0,311.0,Non-Metro
Alabama,Tallapoosa,22.0,73.0,8.0,61.0,Non-Metro
Alabama,Washington,23.0,74.0,24.0,78.0,Non-Metro
Alabama,Winston,12.0,102.0,20.0,95.0,Non-Metro
