fips_code,state,county,population,metro_status,poverty_pct,bachelors_pct,median_income,2023_unemployment_rate,2024_unemployment_rate,2023_violent_crime,2024_violent_crime,2023_property_crime,2024_property_crime
01001,Alabama,Autauga,59285.0,Metro,10.7,28.3,69841.0,2.1,2.6,47.0,54.0,220.0,221.0
01003,Alabama,Baldwin,239945.0,Metro,10.5,32.8,75019.0,2.2,2.7,108.0,137.0,196.0,170.0
01005,Alabama,Barbour,24757.0,Non-Metro,21.9,11.5,44290.0,3.9,4.0,8.0,11.0,26.0,15.0
01007,Alabama,Bibb,22152.0,Metro,20.5,11.5,51215.0,2.4,2.9,25.0,34.0,82.0,78.0
01009,Alabama,Blount,59292.0,Metro,14.1,15.6,61096.0,2.0,2.6,111.0,82.0,376.0,298.0
01011,Alabama,Bullock,10157.0,Non-Metro,25.7,9.0,36723.0,2.6,3.7,14.0,11.0,32.0,38.0
01015,Alabama,Calhoun,116141.0,Metro,17.5,20.5,55826.0,2.6,3.1,215.0,238.0,246.0,192.0
01017,Alabama,Chambers,34450.0,Non-Metro,15.5,14.6,49295.0,2.2,2.6,26.0,26.0,89.0,147.0
01019,Alabama,Cherokee,25224.0,Non-Metro,14.5,15.9,50769.0,2.6,3.0,64.0,49.0,308.0,264.0
01021,Alabama,Chilton,45500.0,Metro,13.6,15.2,61873.0,2.2,2.7,93.0,64.0,312.0,419.0
01023,Alabama,Choctaw,12525.0,Non-Metro,19.5,13.9,44483.0,3.8,4.4,23.0,9.0,86.0,51.0
01025,Alabama,Clarke,22802.0,Non-Metro,20.5,15.4,49167.0,4.2,5.0,62.0,36.0,92.0,73.0
01027,Alabama,Clay,14188.0,Non-Metro,16.5,15.2,51852.0,2.4,2.9,16.0,16.0,60.0,51.0
01029,Alabama,Cleburne,15254.0,Non-Metro,13.2,18.2,53319.0,2.2,2.7,10.0,19.0,114.0,111.0
01031,Alabama,Coffee,54231.0,Non-Metro,17.6,21.5,64672.0,2.3,3.0,31.0,26.0,137.0,122.0
01033,Alabama,Colbert,57648.0,Metro,16.9,20.3,56736.0,2.8,3.2,21.0,15.0,73.0,90.0
01035,Alabama,Conecuh,11411.0,Non-Metro,27.6,13.1,42266.0,3.6,4.1,5.0,1.0,19.0,0.0
01039,Alabama,Covington,37647.0,Non-Metro,18.0,17.2,50886.0,2.7,3.2,5.0,1.0,20.0,8.0
01041,Alabama,Crenshaw,13144.0,Non-Metro,16.2,16.8,49040.0,2.8,3.3,23.0,5.0,92.0,18.0
01043,Alabama,Cullman,89463.0,Non-Metro,13.9,19.1,60916.0,2.1,2.6,103.0,78.0,687.0,644.0
01045,Alabama,Dale,49516.0,Non-Metro,18.7,19.3,53955.0,2.8,3.3,22.0,37.0,110.0,75.0
01047,Alabama,Dallas,37536.0,Non-Metro,29.0,17.0,36810.0,4.9,5.2,94.0,93.0,219.0,303.0
01049,Alabama,DeKalb,71946.0,Non-Metro,20.4,13.9,51149.0,2.2,2.6,22.0,27.0,131.0,157.0
01051,Alabama,Elmore,88669.0,Metro,10.3,24.4,75553.0,2.0,2.5,35.0,41.0,226.0,314.0
01055,Alabama,Etowah,103208.0,Metro,17.1,17.5,53070.0,2.5,3.2,17.0,13.0,63.0,55.0
