fips_code,2024_unemployment_rate
01001,2.6
01003,2.7
01005,4.0
01007,2.9
01009,2.6
01011,3.7
01013,3.7
01015,3.1
01017,2.6
01019,3.0
01021,2.7
01023,4.4
01025,5.0
01027,2.9
01029,2.7
01031,3.0
01033,3.2
01035,4.1
01037,3.2
01039,3.2
01041,3.3
01043,2.6
01045,3.3
01047,5.2
01049,2.6
01051,2.5
01053,4.0
01055,3.2
01057,3.3
01059,2.9
01061,2.8
01063,6.6
01065,4.3
01067,3.1
01069,3.0
01071,3.4
01073,3.0
01075,3.3
01077,3.1
01079,2.6
01081,2.8
01083,2.4
01085,4.6
01087,4.3
01089,2.5
01091,3.8
01093,3.4
01095,2.6
01097,3.7
01099,4.8
01101,3.3
01103,2.5
01105,6.5
01107,3.8
01109,3.3
01111,3.5
01113,3.5
01115,2.5
01117,2.3
01119,4.6
01121,3.3
01123,3.2
01125,3.0
01127,2.9
01129,3.6
01131,6.1
01133,3.2
02013,3.6
02016,3.4
02020,3.8
02050,10.6
02060,3.9
02063,5.2
02066,7.3
02068,4.6
02070,7.6
02090,4.0
02100,8.0
02105,5.5
02110,3.3
02122,5.2
02130,3.8
02150,4.7
02158,15.8
02164,5.8
02170,4.9
02180,8.5
02185,3.3
02188,9.2
02195,5.3
02198,7.9
02220,3.1
02230,5.7
02240,5.9
02275,5.3
02282,5.8
02290,8.6
04001,7.0
04003,4.4
04005,3.9
04007,3.6
04009,3.5
04011,2.5
04012,5.9
04013,3.2
04015,4.5
04017,5.6
04019,3.7
04021,3.8
04023,6.3
04025,3.5
04027,12.7
05001,3.5
05003,5.8
05005,4.1
05007,2.8
05009,3.4
05011,4.8
05013,3.7
05015,3.7
05017,5.7
05019,4.0
05021,3.7
05023,3.8
05025,3.8
05027,4.0
05029,3.5
05031,3.2
05033,3.6
05035,4.5
05037,3.7
05039,3.8
05041,6.8
05043,4.1
05045,3.0
05047,3.5
05049,4.5
05051,3.7
05053,2.9
05055,3.7
05057,3.7
05059,3.9
05061,3.4
05063,3.1
05065,5.7
05067,4.4
05069,5.0
05071,5.1
05073,4.8
05075,3.7
05077,5.3
05079,5.3
05081,3.9
05083,3.8
05085,2.9
05087,3.0
05089,5.1
05091,4.4
05093,4.0
05095,4.3
05097,4.5
05099,5.2
05101,4.3
05103,4.3
05105,3.9
05107,5.9
05109,3.4
05111,3.8
05113,4.4
05115,4.1
05117,3.1
05119,3.5
05121,3.7
05123,5.3
05125,2.8
05127,3.3
05129,3.9
05131,3.4
05133,2.9
05135,3.9
05137,4.9
05139,5.0
05141,4.3
05143,2.8
05145,3.7
05147,3.6
05149,3.3
06001,4.4
06003,7.4
06005,5.4
06007,5.9
06009,6.0
06011,13.2
06013,4.5
06015,6.2
06017,4.7
06019,7.9
06021,7.0
06023,5.1
06025,18.4
06027,4.2
06029,8.7
06031,8.7
06033,7.0
06035,6.6
06037,5.8
06039,7.5
06041,3.9
06043,5.5
06045,5.6
06047,9.8
06049,7.0
06051,4.1
06053,7.3
06055,3.9
06057,4.5
06059,3.9
06061,4.1
06063,7.1
06065,5.3
06067,4.7
06069,6.4
06071,5.1
06073,4.3
06075,3.9
06077,6.5
06079,4.0
06081,3.7
06083,4.5
06085,4.1
06087,5.9
06089,5.3
06091,5.5
06093,6.9
06095,4.9
06097,4.1
06099,6.9
06101,8.6
06103,6.2
06105,5.4
06107,10.5
06109,5.2
06111,4.6
06113,5.4
06115,6.8
08001,4.3
08003,4.8
08005,4.0
08007,4.1
08009,3.3
08011,4.8
08013,4.1
08014,3.9
08015,3.8
08017,2.7
08019,3.9
08021,4.3
08023,7.0
08025,3.9
08027,4.1
08029,5.4
08031,4.3
08033,4.4
08035,3.8
08037,3.4
08039,3.6
08041,4.1
08043,5.7
08045,3.5
08047,3.5
08049,3.4
08051,3.3
08053,3.5
08055,7.0
08057,3.6
08059,4.0
08061,3.3
08063,3.2
08065,3.4
08067,4.0
08069,3.9
08071,6.1
08073,4.5
08075,3.5
08077,4.3
08079,4.4
08081,4.2
08083,5.1
08085,4.5
08087,4.1
08089,5.3
08091,4.3
08093,4.1
08095,3.0
08097,3.6
08099,3.6
08101,5.7
08103,4.2
08105,5.1
08107,3.6
08109,4.4
08111,3.7
08113,3.9
08115,4.0
08117,3.2
08119,4.1
08121,3.4
08123,4.4
08125,2.7
09110,3.4
09120,3.8
09130,2.9
09140,3.8
09150,3.2
09160,2.9
09170,3.3
09180,3.2
09190,2.9
10001,4.3
10003,3.9
10005,3.8
11001,5.3
12001,3.8
12003,3.3
12005,3.3
12007,3.8
12009,3.5
12011,3.2
12013,3.7
12015,4.1
12017,4.9
12019,3.4
12021,3.3
12023,4.0
12027,4.0
12029,4.2
12031,3.5
12033,3.6
12035,4.0
12037,3.8
12039,4.2
12041,3.4
12043,4.4
12045,3.3
12047,4.8
12049,4.1
12051,4.0
12053,4.0
12055,4.8
12057,3.4
12059,3.5
12061,4.0
12063,3.9
12065,3.1
12067,4.4
12069,3.5
12071,3.5
12073,3.4
12075,4.0
12077,3.9
12079,4.2
12081,3.5
12083,4.2
12085,3.5
12086,2.4
12087,2.2
12089,3.2
12091,3.1
12093,3.8
12095,3.3
12097,3.5
12099,3.3
12101,3.7
12103,3.2
12105,4.2
12107,4.2
12109,3.2
12111,3.9
12113,3.4
12115,3.5
12117,3.1
12119,5.8
12121,3.9
12123,6.2
12125,4.4
12127,3.8
12129,2.8
12131,3.0
12133,4.0
13001,3.9
13003,3.8
13005,3.6
13007,4.5
13009,3.8
13011,2.9
13013,2.9
13015,3.2
13017,3.9
13019,4.2
13021,4.4
13023,3.9
13025,3.1
13027,3.7
13029,2.8
13031,3.5
13033,5.1
13035,3.2
13037,3.1
13039,3.2
13043,3.4
13045,3.3
13047,2.9
13049,3.4
13051,3.0
13053,7.2
13055,4.4
13057,2.8
13059,3.4
13061,5.5
13063,4.3
13065,3.9
13067,3.2
13069,4.0
13071,3.1
13073,3.3
13075,3.6
13077,3.1
13079,3.6
13081,3.4
13083,3.2
13085,2.7
13087,3.5
13089,3.6
13091,3.5
13093,4.0
13095,4.8
13097,3.7
13099,4.7
13101,3.2
13103,2.6
13105,3.8
13107,4.3
13109,3.0
13111,3.2
13113,3.2
13115,3.4
13117,2.7
13119,3.7
13121,3.5
13123,2.8
13125,3.0
13127,2.9
13129,3.3
13131,3.2
