fips_code,2023_unemployment_rate,2024_unemployment_rate
01001,2.1,2.6
01003,2.2,2.7
01005,3.9,4.0
01007,2.4,2.9
01009,2.0,2.6
01011,2.6,3.7
01013,3.0,3.7
01015,2.6,3.1
01017,2.2,2.6
01019,2.6,3.0
01021,2.2,2.7
01023,3.8,4.4
01025,4.2,5.0
01027,2.4,2.9
01029,2.2,2.7
01031,2.3,3.0
01033,2.8,3.2
01035,3.6,4.1
01037,2.4,3.2
01039,2.7,3.2
01041,2.8,3.3
01043,2.1,2.6
01045,2.8,3.3
01047,4.9,5.2
01049,2.2,2.6
01051,2.0,2.5
01053,3.4,4.0
01055,2.5,3.2
01057,2.7,3.3
01059,2.6,2.9
01061,2.3,2.8
01063,5.5,6.6
01065,3.5,4.3
01067,2.3,3.1
01069,2.5,3.0
01071,2.8,3.4
01073,2.5,3.0
01075,2.9,3.3
01077,2.6,3.1
01079,2.1,2.6
01081,2.2,2.8
01083,2.0,2.4
01085,4.1,4.6
01087,3.4,4.3
01089,2.0,2.5
01091,3.3,3.8
01093,2.9,3.4
01095,2.1,2.6
01097,3.1,3.7
01099,4.1,4.8
01101,2.9,3.3
01103,2.1,2.5
01105,5.6,6.5
01107,3.0,3.8
01109,2.8,3.3
01111,2.7,3.5
01113,2.7,3.5
01115,2.0,2.5
01117,1.8,2.3
01119,3.6,4.6
01121,2.8,3.3
01123,2.6,3.2
01125,2.4,3.0
01127,2.4,2.9
01129,2.7,3.6
01131,5.7,6.1
01133,2.7,3.2
02013,2.3,3.6
02016,3.0,3.4
02020,3.5,3.8
02050,9.8,10.6
02060,3.4,3.9
02063,4.4,5.2
02066,7.2,7.3
02068,4.7,4.6
02070,6.3,7.6
02090,3.8,4.0
02100,7.8,8.0
02105,5.5,5.5
02110,3.1,3.3
02122,5.0,5.2
02130,3.5,3.8
02150,4.3,4.7
02158,14.8,15.8
02164,5.1,5.8
02170,4.8,4.9
02180,7.7,8.5
02185,3.2,3.3
02188,9.1,9.2
02195,4.8,5.3
02198,7.4,7.9
02220,3.0,3.1
02230,5.3,5.7
02240,5.6,5.9
02275,5.0,5.3
02282,5.3,5.8
02290,8.5,8.6
04001,6.9,7.0
04003,4.5,4.4
04005,4.1,3.9
04007,4.0,3.6
04009,3.6,3.5
04011,2.5,2.5
04012,6.2,5.9
04013,3.2,3.2
04015,4.5,4.5
04017,5.7,5.6
04019,3.6,3.7
04021,3.7,3.8
04023,6.7,6.3
04025,3.6,3.5
04027,12.4,12.7
05001,2.9,3.5
05003,5.3,5.8
05005,3.6,4.1
05007,2.5,2.8
05009,2.9,3.4
05011,4.7,4.8
05013,3.1,3.7
05015,3.0,3.7
05017,4.9,5.7
05019,3.9,4.0
05021,3.6,3.7
05023,3.5,3.8
05025,3.2,3.8
05027,3.9,4.0
05029,3.2,3.5
05031,2.8,3.2
05033,3.3,3.6
05035,4.0,4.5
05037,3.1,3.7
05039,3.6,3.8
05041,5.0,6.8
05043,3.7,4.1
05045,2.8,3.0
05047,3.1,3.5
05049,4.2,4.5
05051,3.4,3.7
05053,2.8,2.9
05055,3.2,3.7
05057,3.4,3.7
05059,3.5,3.9
05061,3.4,3.4
05063,3.2,3.1
05065,5.5,5.7
05067,4.7,4.4
05069,4.5,5.0
05071,4.0,5.1
05073,4.5,4.8
05075,3.2,3.7
05077,5.2,5.3
05079,4.1,5.3
05081,3.4,3.9
05083,3.5,3.8
05085,2.6,2.9
05087,2.5,3.0
05089,4.6,5.1
05091,3.9,4.4
05093,4.2,4.0
05095,3.4,4.3
05097,4.3,4.5
05099,4.6,5.2
05101,3.7,4.3
05103,3.8,4.3
05105,3.5,3.9
05107,6.4,5.9
05109,3.0,3.4
05111,3.2,3.8
05113,3.6,4.4
05115,3.8,4.1
05117,2.9,3.1
05119,3.1,3.5
05121,3.4,3.7
05123,4.5,5.3
05125,2.6,2.8
05127,3.0,3.3
05129,3.7,3.9
05131,3.1,3.4
05133,2.7,2.9
05135,3.6,3.9
05137,4.5,4.9
05139,4.1,5.0
05141,3.9,4.3
05143,2.5,2.8
05145,3.4,3.7
05147,3.3,3.6
05149,3.0,3.3
06001,3.8,4.4
06003,8.3,7.4
06005,5.1,5.4
06007,5.2,5.9
06009,5.3,6.0
06011,12.4,13.2
06013,3.9,4.5
06015,6.0,6.2
06017,4.1,4.7
06019,7.4,7.9
06021,6.7,7.0
06023,4.6,5.1
06025,17.6,18.4
06027,4.0,4.2
06029,8.1,8.7
06031,8.4,8.7
06033,6.7,7.0
06035,5.9,6.6
06037,5.1,5.8
06039,7.0,7.5
06041,3.5,3.9
06043,5.4,5.5
06045,4.9,5.6
06047,9.0,9.8
06049,6.7,7.0
06051,3.9,4.1
06053,7.0,7.3
06055,3.4,3.9
06057,4.1,4.5
06059,3.5,3.9
06061,3.7,4.1
06063,7.0,7.1
06065,4.8,5.3
06067,4.3,4.7
06069,5.7,6.4
06071,4.6,5.1
06073,3.7,4.3
06075,3.4,3.9
06077,6.0,6.5
06079,3.6,4.0
06081,3.1,3.7
06083,4.0,4.5
06085,3.5,4.1
06087,5.5,5.9
06089,4.8,5.3
06091,5.0,5.5
06093,6.6,6.9
06095,4.4,4.9
06097,3.6,4.1
06099,6.3,6.9
06101,8.1,8.6
06103,5.6,6.2
06105,5.5,5.4
06107,9.8,10.5
06109,4.8,5.2
06111,4.2,4.6
06113,4.8,5.4
06115,6.2,6.8
08001,3.4,4.3
08003,4.0,4.8
08005,3.2,4.0
08007,3.5,4.1
08009,2.5,3.3
08011,3.9,4.8
08013,3.1,4.1
08014,3.1,3.9
08015,3.1,3.8
08017,2.3,2.7
08019,3.1,3.9
08021,3.7,4.3
08023,6.0,7.0
08025,3.4,3.9
08027,3.5,4.1
08029,4.5,5.4
08031,3.4,4.3
08033,3.5,4.4
08035,2.9,3.8
08037,2.8,3.4
08039,2.8,3.6
08041,3.3,4.1
08043,4.8,5.7
08045,2.9,3.5
08047,2.9,3.5
08049,2.9,3.4
08051,2.9,3.3
08053,3.2,3.5
08055,6.2,7.0
08057,2.8,3.6
08059,3.1,4.0
08061,2.4,3.3
08063,2.3,3.2
08065,2.8,3.4
08067,3.3,4.0
08069,3.1,3.9
08071,5.2,6.1
08073,3.8,4.5
08075,2.7,3.5
08077,3.5,4.3
08079,3.2,4.4
08081,3.7,4.2
08083,4.4,5.1
08085,3.7,4.5
08087,3.5,4.1
08089,4.5,5.3
08091,3.3,4.3
08093,3.5,4.1
08095,2.5,3.0
08097,3.0,3.6
08099,3.0,3.6
08101,4.7,5.7
08103,3.3,4.2
08105,4.1,5.1
08107,2.8,3.6
08109,3.8,4.4
08111,3.6,3.7
08113,3.4,3.9
08115,3.4,4.0
08117,2.6,3.2
08119,3.3,4.1
08121,2.7,3.4
08123,3.4,4.4
08125,2.1,2.7
09110,3.2,3.4
09120,3.6,3.8
09130,2.8,2.9
09140,3.7,3.8
09150,3.3,3.2
09160,3.0,2.9
09170,3.2,3.3
09180,3.2,3.2
09190,2.8,2.9
10001,4.2,4.3
10003,3.8,3.9
10005,3.9,3.8
11001,4.9,5.3
12001,3.3,3.8
12003,2.9,3.3
12005,2.9,3.3
12007,3.3,3.8
12009,3.0,3.5
12011,2.8,3.2
12013,3.3,3.7
12015,3.7,4.1
12017,4.3,4.9
12019,2.9,3.4
12021,3.0,3.3
12023,3.5,4.0
12027,3.5,4.0
12029,3.7,4.2
12031,3.2,3.5
12033,3.1,3.6
12035,3.6,4.0
12037,3.2,3.8
12039,4.0,4.2
12041,2.9,3.4
12043,3.9,4.4
12045,2.9,3.3
12047,4.6,4.8
12049,3.5,4.1
12051,3.7,4.0
12053,3.4,4.0
12055,4.3,4.8
12057,3.0,3.4
12059,2.9,3.5
12061,3.6,4.0
12063,3.4,3.9
12065,2.7,3.1
12067,3.8,4.4
12069,3.1,3.5
12071,3.3,3.5
12073,3.0,3.4
12075,3.4,4.0
12077,3.2,3.9
12079,3.7,4.2
