NAME,S1701_C03_001E,S1501_C02_015E,S1901_C01_012E,state,county
"Autauga County, Alabama",10.7,28.3,69841,01,001
"Baldwin County, Alabama",10.5,32.8,75019,01,003
"Barbour County, Alabama",21.9,11.5,44290,01,005
"Bibb County, Alabama",20.5,11.5,51215,01,007
"Blount County, Alabama",14.1,15.6,61096,01,009
"Bullock County, Alabama",25.7,9.0,36723,01,011
"Butler County, Alabama",21.0,13.8,44881,01,013
"Calhoun County, Alabama",17.5,20.5,55826,01,015
"Chambers County, Alabama",15.5,14.6,49295,01,017
"Cherokee County, Alabama",14.5,15.9,50769,01,019
"Chilton County, Alabama",13.6,15.2,61873,01,021
"Choctaw County, Alabama",19.5,13.9,44483,01,023
"Clarke County, Alabama",20.5,15.4,49167,01,025
"Clay County, Alabama",16.5,15.2,51852,01,027
"Cleburne County, Alabama",13.2,18.2,53319,01,029
"Coffee County, Alabama",17.6,21.5,64672,01,031
"Colbert County, Alabama",16.9,20.3,56736,01,033
"Conecuh County, Alabama",27.6,13.1,42266,01,035
"Coosa County, Alabama",11.6,14.9,57063,01,037
"Covington County, Alabama",18.0,17.2,50886,01,039
"Crenshaw County, Alabama",16.2,16.8,49040,01,041
"Cullman County, Alabama",13.9,19.1,60916,01,043
"Dale County, Alabama",18.7,19.3,53955,01,045
"Dallas County, Alabama",29.0,17.0,36810,01,047
"DeKalb County, Alabama",20.4,13.9,51149,01,049
"Elmore County, Alabama",10.3,24.4,75553,01,051
"Escambia County, Alabama",21.2,12.5,44447,01,053
"Etowah County, Alabama",17.1,17.5,53070,01,055
"Fayette County, Alabama",18.7,15.6,50733,01,057
"Franklin County, Alabama",17.4,14.9,51493,01,059
"Geneva County, Alabama",19.1,13.3,50951,01,061
"Greene County, Alabama",35.9,12.5,31495,01,063
"Hale County, Alabama",23.9,16.8,41325,01,065
"Henry County, Alabama",15.8,21.7,60135,01,067
"Houston County, Alabama",18.0,22.8,57531,01,069
"Jackson County, Alabama",16.8,15.6,49454,01,071
"Jefferson County, Alabama",16.3,35.9,64589,01,073
"Lamar County, Alabama",15.1,11.6,47447,01,075
"Lauderdale County, Alabama",13.6,27.1,59082,01,077
"Lawrence County, Alabama",13.7,15.6,60040,01,079
"Lee County, Alabama",18.9,41.3,61123,01,081
"Limestone County, Alabama",10.1,30.4,83534,01,083
"Lowndes County, Alabama",29.6,13.9,35160,01,085
