fips_code,state,county,population,poverty_pct,bachelors_pct,median_income
01001, Alabama,Autauga,59285,10.7,28.3,69841
01003, Alabama,Baldwin,239945,10.5,32.8,75019
01005, Alabama,Barbour,24757,21.9,11.5,44290
01007, Alabama,Bibb,22152,20.5,11.5,51215
01009, Alabama,Blount,59292,14.1,15.6,61096
01011, Alabama,Bullock,10157,25.7,9.0,36723
01013, Alabama,Butler,18807,21.0,13.8,44881
01015, Alabama,Calhoun,116141,17.5,20.5,55826
01017, Alabama,Chambers,34450,15.5,14.6,49295
01019, Alabama,Cherokee,25224,14.5,15.9,50769
01021, Alabama,Chilton,45500,13.6,15.2,61873
01023, Alabama,Choctaw,12525,19.5,13.9,44483
01025, Alabama,Clarke,22802,20.5,15.4,49167
01027, Alabama,Clay,14188,16.5,15.2,51852
01029, Alabama,Cleburne,15254,13.2,18.2,53319
01031, Alabama,Coffee,54231,17.6,21.5,64672
01033, Alabama,Colbert,57648,16.9,20.3,56736
01035, Alabama,Conecuh,11411,27.6,13.1,42266
01037, Alabama,Coosa,10323,11.6,14.9,57063
01039, Alabama,Covington,37647,18.0,17.2,50886
01041, Alabama,Crenshaw,13144,16.2,16.8,49040
01043, Alabama,Cullman,89463,13.9,19.1,60916
01045, Alabama,Dale,49516,18.7,19.3,53955
01047, Alabama,Dallas,37536,29.0,17.0,36810
01049, Alabama,DeKalb,71946,20.4,13.9,51149
01051, Alabama,Elmore,88669,10.3,24.4,75553
01053, Alabama,Escambia,36695,21.2,12.5,44447
01055, Alabama,Etowah,103208,17.1,17.5,53070
01057, Alabama,Fayette,16173,18.7,15.6,50733
01059, Alabama,Franklin,31978,17.4,14.9,51493
01061, Alabama,Geneva,26726,19.1,13.3,50951
01063, Alabama,Greene,7589,35.9,12.5,31495
01065, Alabama,Hale,14749,23.9,16.8,41325
01067, Alabama,Henry,17450,15.8,21.7,60135
01069, Alabama,Houston,107628,18.0,22.8,57531
01071, Alabama,Jackson,52839,16.8,15.6,49454
01073, Alabama,Jefferson,669744,16.3,35.9,64589
01075, Alabama,Lamar,13809,15.1,11.6,47447
01077, Alabama,Lauderdale,95037,13.6,27.1,59082
01079, Alabama,Lawrence,33182,13.7,15.6,60040
01081, Alabama,Lee,177663,18.9,41.3,61123
01083, Alabama,Limestone,107577,10.1,30.4,83534
01085, Alabama,Lowndes,10008,29.6,13.9,35160
01087, Alabama,Macon,18951,22.1,20.7,45951
01089, Alabama,Madison,397135,10.5,45.7,83528
01091, Alabama,Marengo,19027,22.6,20.4,44205
01093, Alabama,Marion,29190,16.8,12.8,50714
01095, Alabama,Marshall,98712,16.3,21.3,60946
01097, Alabama,Mobile,413162,16.3,25.2,58119
01099, Alabama,Monroe,19580,22.6,11.4,40225
01101, Alabama,Montgomery,227197,19.3,34.3,58153
01103, Alabama,Morgan,123742,13.6,23.2,64858
01105, Alabama,Perry,8231,31.2,16.8,34368
01107, Alabama,Pickens,18843,22.6,13.7,47014
01109, Alabama,Pike,32953,23.4,27.3,47961
01111, Alabama,Randolph,22310,18.4,20.5,51551
01113, Alabama,Russell,58858,22.2,16.9,50046
01115, Alabama,St. Clair,92903,11.2,19.9,78993
01117, Alabama,Shelby,226955,6.9,46.2,93543
01119, Alabama,Sumter,12020,28.1,19.0,37981
01121, Alabama,Talladega,81170,17.7,16.8,56249
01123, Alabama,Tallapoosa,41070,15.2,18.7,57185
01125, Alabama,Tuscaloosa,234036,16.7,31.4,63947
01127, Alabama,Walker,64886,18.0,16.0,54509
01129, Alabama,Washington,15270,18.4,16.2,60503
01131, Alabama,Wilcox,10347,29.0,12.3,42236
01133, Alabama,Winston,23637,19.5,13.4,48032
02013, Alaska,Aleutians East,3423,12.4,18.1,72692
02016, Alaska,Aleutians West,5178,9.2,17.5,107344
02020, Alaska,Anchorage,289069,9.3,37.7,98152
02050, Alaska,Bethel,18487,24.0,10.4,70616
02060, Alaska,Bristol Bay,878,9.7,25.1,100625
02063, Alaska,Chugach,6964,4.8,29.6,88565
02066, Alaska,Copper River,2626,11.4,28.4,75053
02068, Alaska,Denali,2029,6.6,23.6,88935
02070, Alaska,Dillingham,4780,16.3,19.4,74250
02090, Alaska,Fairbanks North Star,95555,6.2,33.7,84722
02100, Alaska,Haines,2077,6.1,36.9,72607
02105, Alaska,Hoonah-Angoon,2313,12.6,23.3,62500
02110, Alaska,Juneau,31969,8.2,40.5,100513
02122, Alaska,Kenai Peninsula,59843,11.6,29.4,77722
02130, Alaska,Ketchikan Gateway,13870,9.5,27.0,89155
02150, Alaska,Kodiak Island,12878,7.7,28.6,83716
02158, Alaska,Kusilvak,8277,31.2,5.8,48233
02164, Alaska,Lake and Peninsula,1007,15.2,18.4,64000
02170, Alaska,Matanuska-Susitna,110677,10.3,24.3,90625
02180, Alaska,Nome,9925,21.1,17.5,76643
02185, Alaska,North Slope,10891,8.3,14.9,86313
02188, Alaska,Northwest Arctic,7611,18.4,12.4,81298
02195, Alaska,Petersburg,3394,5.7,27.5,77026
02198, Alaska,Prince of Wales-Hyder,5730,15.1,17.0,59079
02220, Alaska,Sitka,8393,8.4,34.4,101207
02230, Alaska,Skagway,1308,6.2,27.7,78594
02240, Alaska,Southeast Fairbanks,6936,13.3,19.6,74223
02275, Alaska,Wrangell,2106,10.9,18.9,64545
02282, Alaska,Yakutat,506,7.8,14.8,80625
02290, Alaska,Yukon-Koyukuk,5271,20.8,12.8,52642
04001, Arizona,Apache,65680,31.2,15.3,40338
04003, Arizona,Cochise,125458,15.5,27.7,58970
04005, Arizona,Coconino,144643,17.7,39.6,69748
04007, Arizona,Gila,53610,17.8,18.8,59089
04009, Arizona,Graham,38860,17.7,14.6,67326
04011, Arizona,Greenlee,9452,10.8,20.4,75239
04012, Arizona,La Paz,16605,18.4,13.9,49506
04013, Arizona,Maricopa,4491987,11.3,35.9,85518
04015, Arizona,Mohave,217420,16.8,14.9,55799
04017, Arizona,Navajo,107744,24.7,17.6,52752
04019, Arizona,Pima,1049947,14.4,35.9,67929
04021, Arizona,Pinal,449219,10.9,22.2,77588
04023, Arizona,Santa Cruz,48209,20.2,24.1,53614
04025, Arizona,Yavapai,241656,12.6,29.6,66106
04027, Arizona,Yuma,207685,16.5,16.7,60417
05001, Arkansas,Arkansas,16773,14.7,15.3,60831
05003, Arkansas,Ashley,18722,22.7,12.2,44481
05005, Arkansas,Baxter,42150,14.5,18.7,48427
05007, Arkansas,Benton,294541,7.6,36.6,89879
05009, Arkansas,Boone,37896,13.4,16.3,54195
05011, Arkansas,Bradley,10354,20.1,15.8,39565
05013, Arkansas,Calhoun,4717,13.3,18.1,63654
05015, Arkansas,Carroll,28526,16.3,21.1,55187
05017, Arkansas,Chicot,9997,24.4,17.2,39683
05019, Arkansas,Clark,21378,20.2,25.5,50985
05021, Arkansas,Clay,14399,17.2,15.6,48500
05023, Arkansas,Cleburne,25048,13.8,18.3,55979
05025, Arkansas,Cleveland,7491,15.6,16.2,50509
05027, Arkansas,Columbia,22527,22.7,20.4,47363
05029, Arkansas,Conway,20872,20.6,18.2,51212
05031, Arkansas,Craighead,112097,19.1,27.8,57615
05033, Arkansas,Crawford,60792,16.8,19.3,60362
05035, Arkansas,Crittenden,47609,20.7,17.2,54271
05037, Arkansas,Cross,16681,20.1,14.8,47012
05039, Arkansas,Dallas,6351,11.2,11.1,44694
05041, Arkansas,Desha,11041,28.9,13.0,36064
05043, Arkansas,Drew,17143,22.7,23.3,41071
05045, Arkansas,Faulkner,126001,15.0,33.2,65071
05047, Arkansas,Franklin,17220,18.9,13.2,51919
05049, Arkansas,Fulton,12239,14.8,15.7,38941
05051, Arkansas,Garland,100062,16.5,26.2,55409
05053, Arkansas,Grant,18111,12.3,20.9,72512
05055, Arkansas,Greene,46182,17.0,16.5,56793
05057, Arkansas,Hempstead,19778,19.0,14.6,47654
05059, Arkansas,Hot Spring,33142,17.1,15.8,52644
05061, Arkansas,Howard,12701,19.8,16.7,44492
05063, Arkansas,Independence,38120,19.6,16.9,56009
05065, Arkansas,Izard,13866,21.1,18.7,47728
05067, Arkansas,Jackson,16775,21.2,13.3,41215
05069, Arkansas,Jefferson,65780,20.6,20.6,48552
05071, Arkansas,Johnson,25932,19.4,18.1,44808
05073, Arkansas,Lafayette,6211,27.2,9.2,37237
05075, Arkansas,Lawrence,16265,18.2,14.0,44164
05077, Arkansas,Lee,8511,27.7,6.9,36860
05079, Arkansas,Lincoln,12966,17.7,10.9,51667
05081, Arkansas,Little River,11959,16.5,17.4,52241
05083, Arkansas,Logan,21240,14.4,15.5,54237
05085, Arkansas,Lonoke,74747,11.1,21.0,71449
05087, Arkansas,Madison,17032,15.0,12.8,53888
05089, Arkansas,Marion,17076,17.8,15.4,46953
05091, Arkansas,Miller,42588,21.0,16.0,49983
05093, Arkansas,Mississippi,39749,21.0,14.2,53428
05095, Arkansas,Monroe,6681,22.2,15.6,43955
05097, Arkansas,Montgomery,8571,20.8,16.8,49015
05099, Arkansas,Nevada,8228,28.5,11.7,41761
05101, Arkansas,Newton,7175,13.3,14.3,47395
05103, Arkansas,Ouachita,22317,17.9,15.1,49838
05105, Arkansas,Perry,10073,15.6,17.1,60078
05107, Arkansas,Phillips,15910,28.7,14.5,38874
05109, Arkansas,Pike,10182,18.8,19.6,51000
05111, Arkansas,Poinsett,22740,20.1,11.9,47188
05113, Arkansas,Polk,19348,19.0,17.2,49252
05115, Arkansas,Pope,63830,17.6,24.6,54606
05117, Arkansas,Prairie,8162,9.4,16.7,51094
05119, Arkansas,Pulaski,398949,16.2,37.4,60385
05121, Arkansas,Randolph,18733,21.1,14.5,52838
05123, Arkansas,St. Francis,22740,27.8,12.9,41784
05125, Arkansas,Saline,125724,9.1,28.5,76534
05127, Arkansas,Scott,9839,17.2,10.8,45955
05129, Arkansas,Searcy,7861,24.5,13.7,41978
05131, Arkansas,Sebastian,128448,16.3,24.4,56450
05133, Arkansas,Sevier,15797,19.6,10.9,51641
05135, Arkansas,Sharp,17597,17.3,11.9,42950
05137, Arkansas,Stone,12474,21.6,15.4,38531
05139, Arkansas,Union,38368,19.4,18.9,50221
05141, Arkansas,Van Buren,15936,19.5,15.8,47266
