fips_code,state,county,population,metro_status,poverty_pct,bachelors_pct,median_income,2023_violent_crime,2024_violent_crime,2023_property_crime,2024_property_crime,2023_unemployment_rate,2024_unemployment_rate,_merge
01013,,,,,,,,,,,,3.0,3.7,right_only
01037,,,,,,,,,,,,2.4,3.2,right_only
01053,,,,,,,,,,,,3.4,4.0,right_only
01061,,,,,,,,,,,,2.3,2.8,right_only
01065,,,,,,,,,,,,3.5,4.3,right_only
01071,,,,,,,,,,,,2.8,3.4,right_only
01083,,,,,,,,,,,,2.0,2.4,right_only
01085,,,,,,,,,,,,4.1,4.6,right_only
01091,,,,,,,,,,,,3.3,3.8,right_only
01103,,,,,,,,,,,,2.1,2.5,right_only
01105,,,,,,,,,,,,5.6,6.5,right_only
01113,,,,,,,,,,,,2.7,3.5,right_only
01117,,,,,,,,,,,,1.8,2.3,right_only
01119,,,,,,,,,,,,3.6,4.6,right_only
01131,,,,,,,,,,,,5.7,6.1,right_only
02013,,,,,,,,,,,,2.3,3.6,right_only
02016,,,,,,,,,,,,3.0,3.4,right_only
02020,,,,,,,,,,,,3.5,3.8,right_only
02050,,,,,,,,,,,,9.8,10.6,right_only
02060,,,,,,,,,,,,3.4,3.9,right_only
02063,,,,,,,,,,,,4.4,5.2,right_only
02066,,,,,,,,,,,,7.2,7.3,right_only
02068,,,,,,,,,,,,4.7,4.6,right_only
02070,,,,,,,,,,,,6.3,7.6,right_only
02090,,,,,,,,,,,,3.8,4.0,right_only
02100,,,,,,,,,,,,7.8,8.0,right_only
02105,,,,,,,,,,,,5.5,5.5,right_only
02110,,,,,,,,,,,,3.1,3.3,right_only
02122,,,,,,,,,,,,5.0,5.2,right_only
02130,,,,,,,,,,,,3.5,3.8,right_only
02150,,,,,,,,,,,,4.3,4.7,right_only
02158,,,,,,,,,,,,14.8,15.8,right_only
02164,,,,,,,,,,,,5.1,5.8,right_only
02170,,,,,,,,,,,,4.8,4.9,right_only
02180,,,,,,,,,,,,7.7,8.5,right_only
02185,,,,,,,,,,,,3.2,3.3,right_only
02188,,,,,,,,,,,,9.1,9.2,right_only
02195,,,,,,,,,,,,4.8,5.3,right_only
02198,,,,,,,,,,,,7.4,7.9,right_only
02220,,,,,,,,,,,,3.0,3.1,right_only
02230,,,,,,,,,,,,5.3,5.7,right_only
02240,,,,,,,,,,,,5.6,5.9,right_only
02275,,,,,,,,,,,,5.0,5.3,right_only
02282,,,,,,,,,,,,5.3,5.8,right_only
02290,,,,,,,,,,,,8.5,8.6,right_only
04003,,,,,,,,,,,,4.5,4.4,right_only
04005,,,,,,,,,,,,4.1,3.9,right_only
04011,,,,,,,,,,,,2.5,2.5,right_only
04012,,,,,,,,,,,,6.2,5.9,right_only
04013,,,,,,,,,,,,3.2,3.2,right_only
04023,,,,,,,,,,,,6.7,6.3,right_only
05011,,,,,,,,,,,,4.7,4.8,right_only
05037,,,,,,,,,,,,3.1,3.7,right_only
05039,,,,,,,,,,,,3.6,3.8,right_only
05045,,,,,,,,,,,,2.8,3.0,right_only
05059,,,,,,,,,,,,3.5,3.9,right_only
05077,,,,,,,,,,,,5.2,5.3,right_only
05095,,,,,,,,,,,,3.4,4.3,right_only
05099,,,,,,,,,,,,4.6,5.2,right_only
05103,,,,,,,,,,,,3.8,4.3,right_only
05107,,,,,,,,,,,,6.4,5.9,right_only
05123,,,,,,,,,,,,4.5,5.3,right_only
05135,,,,,,,,,,,,3.6,3.9,right_only
06045,,,,,,,,,,,,4.9,5.6,right_only
06063,,,,,,,,,,,,7.0,7.1,right_only
06071,,,,,,,,,,,,4.6,5.1,right_only
06075,,,,,,,,,,,,3.4,3.9,right_only
06089,,,,,,,,,,,,4.8,5.3,right_only
06095,,,,,,,,,,,,4.4,4.9,right_only
08009,,,,,,,,,,,,2.5,3.3,right_only
08014,,,,,,,,,,,,3.1,3.9,right_only
08017,,,,,,,,,,,,2.3,2.7,right_only
08019,,,,,,,,,,,,3.1,3.9,right_only
08021,,,,,,,,,,,,3.7,4.3,right_only
08023,,,,,,,,,,,,6.0,7.0,right_only
08027,,,,,,,,,,,,3.5,4.1,right_only
08031,,,,,,,,,,,,3.4,4.3,right_only
08039,,,,,,,,,,,,2.8,3.6,right_only
08043,,,,,,,,,,,,4.8,5.7,right_only
08049,,,,,,,,,,,,2.9,3.4,right_only
08051,,,,,,,,,,,,2.9,3.3,right_only
08053,,,,,,,,,,,,3.2,3.5,right_only
08055,,,,,,,,,,,,6.2,7.0,right_only
08057,,,,,,,,,,,,2.8,3.6,right_only
08065,,,,,,,,,,,,2.8,3.4,right_only
08073,,,,,,,,,,,,3.8,4.5,right_only
08079,,,,,,,,,,,,3.2,4.4,right_only
08081,,,,,,,,,,,,3.7,4.2,right_only
08093,,,,,,,,,,,,3.5,4.1,right_only
08101,,,,,,,,,,,,4.7,5.7,right_only
08111,,,,,,,,,,,,3.6,3.7,right_only
08115,,,,,,,,,,,,3.4,4.0,right_only
08119,,,,,,,,,,,,3.3,4.1,right_only
08123,,,,,,,,,,,,3.4,4.4,right_only
09110,,,,,,,,,,,,3.2,3.4,right_only
09120,,,,,,,,,,,,3.6,3.8,right_only
09130,,,,,,,,,,,,2.8,2.9,right_only
09140,,,,,,,,,,,,3.7,3.8,right_only
09150,,,,,,,,,,,,3.3,3.2,right_only
09160,,,,,,,,,,,,3.0,2.9,right_only
09170,,,,,,,,,,,,3.2,3.3,right_only
09180,,,,,,,,,,,,3.2,3.2,right_only
09190,,,,,,,,,,,,2.8,2.9,right_only
10001,,,,,,,,,,,,4.2,4.3,right_only
10003,,,,,,,,,,,,3.8,3.9,right_only
10005,,,,,,,,,,,,3.9,3.8,right_only
11001,,,,,,,,,,,,4.9,5.3,right_only
12007,,,,,,,,,,,,3.3,3.8,right_only
