fips_code,2023_unemployment_rate
01001,2.1
01003,2.2
01005,3.9
01007,2.4
01009,2.0
01011,2.6
01013,3.0
01015,2.6
01017,2.2
01019,2.6
01021,2.2
01023,3.8
01025,4.2
01027,2.4
01029,2.2
01031,2.3
01033,2.8
01035,3.6
01037,2.4
01039,2.7
01041,2.8
01043,2.1
01045,2.8
01047,4.9
01049,2.2
01051,2.0
01053,3.4
01055,2.5
01057,2.7
01059,2.6
01061,2.3
01063,5.5
01065,3.5
01067,2.3
01069,2.5
01071,2.8
01073,2.5
01075,2.9
01077,2.6
01079,2.1
01081,2.2
01083,2.0
01085,4.1
01087,3.4
01089,2.0
01091,3.3
01093,2.9
01095,2.1
01097,3.1
01099,4.1
01101,2.9
01103,2.1
01105,5.6
01107,3.0
01109,2.8
01111,2.7
01113,2.7
01115,2.0
01117,1.8
01119,3.6
01121,2.8
01123,2.6
01125,2.4
01127,2.4
01129,2.7
01131,5.7
01133,2.7
02013,2.3
02016,3.0
02020,3.5
02050,9.8
02060,3.4
02063,4.4
02066,7.2
02068,4.7
02070,6.3
02090,3.8
02100,7.8
02105,5.5
02110,3.1
02122,5.0
02130,3.5
02150,4.3
02158,14.8
02164,5.1
02170,4.8
02180,7.7
02185,3.2
02188,9.1
02195,4.8
02198,7.4
02220,3.0
02230,5.3
02240,5.6
02275,5.0
02282,5.3
02290,8.5
04001,6.9
04003,4.5
04005,4.1
04007,4.0
04009,3.6
04011,2.5
04012,6.2
04013,3.2
04015,4.5
04017,5.7
04019,3.6
04021,3.7
04023,6.7
04025,3.6
04027,12.4
05001,2.9
05003,5.3
05005,3.6
05007,2.5
05009,2.9
05011,4.7
05013,3.1
05015,3.0
05017,4.9
05019,3.9
05021,3.6
05023,3.5
05025,3.2
05027,3.9
05029,3.2
05031,2.8
05033,3.3
05035,4.0
05037,3.1
05039,3.6
05041,5.0
05043,3.7
05045,2.8
05047,3.1
05049,4.2
05051,3.4
05053,2.8
05055,3.2
05057,3.4
05059,3.5
05061,3.4
05063,3.2
05065,5.5
05067,4.7
05069,4.5
05071,4.0
05073,4.5
05075,3.2
05077,5.2
05079,4.1
05081,3.4
05083,3.5
05085,2.6
05087,2.5
05089,4.6
05091,3.9
05093,4.2
05095,3.4
05097,4.3
05099,4.6
05101,3.7
05103,3.8
05105,3.5
05107,6.4
05109,3.0
05111,3.2
05113,3.6
05115,3.8
05117,2.9
05119,3.1
05121,3.4
05123,4.5
05125,2.6
05127,3.0
05129,3.7
05131,3.1
05133,2.7
05135,3.6
05137,4.5
05139,4.1
05141,3.9
05143,2.5
05145,3.4
05147,3.3
05149,3.0
06001,3.8
06003,8.3
06005,5.1
06007,5.2
06009,5.3
06011,12.4
06013,3.9
06015,6.0
06017,4.1
06019,7.4
06021,6.7
06023,4.6
06025,17.6
06027,4.0
06029,8.1
06031,8.4
06033,6.7
06035,5.9
06037,5.1
06039,7.0
06041,3.5
06043,5.4
06045,4.9
06047,9.0
06049,6.7
06051,3.9
06053,7.0
06055,3.4
06057,4.1
06059,3.5
06061,3.7
06063,7.0
06065,4.8
06067,4.3
06069,5.7
06071,4.6
06073,3.7
06075,3.4
06077,6.0
06079,3.6
06081,3.1
06083,4.0
06085,3.5
06087,5.5
06089,4.8
06091,5.0
06093,6.6
06095,4.4
06097,3.6
06099,6.3
06101,8.1
06103,5.6
06105,5.5
06107,9.8
06109,4.8
06111,4.2
06113,4.8
06115,6.2
08001,3.4
08003,4.0
08005,3.2
08007,3.5
08009,2.5
08011,3.9
08013,3.1
08014,3.1
08015,3.1
08017,2.3
08019,3.1
08021,3.7
08023,6.0
08025,3.4
08027,3.5
